38,28,82
15,85,11
70,76,50
18,7,91
24,10,95
26,22,74
22,83,16
39,31,69
71,41,44
37,56,95
77,37,60
63,80,38
69,2,12
4,16,82
45,18,4
67,8,65
30,10,94
11,9,73
20,41,4
67,21,41
68,96,15
91,39,48
85,51,82
87,41,73
56,12,63
55,57,93
70,73,35
15,61,10
0,83,55
63,99,92
67,93,35
0,5,25
63,4,85
47,46,36
41,13,52
52,81,8
29,97,89
20,79,17
42,21,46
27,99,39
77,28,55
96,15,84
66,1,66
87,56,77
89,24,34
42,63,75
82,8,85
13,75,10
77,45,27
88,14,50
2,1,78
60,72,61
4,89,88
27,70,66
77,86,19
40,22,9
82,40,30
65,80,48
54,53,85
22,59,63
96,98,68
22,86,3
90,46,24
38,100,80
54,40,45
46,78,7
61,42,99
90,0,98
89,72,83
9,62,7
65,12,79
58,74,57
48,54,42
78,1,36
12,7,67
26,41,12
66,9,19
31,7,76
75,68,83
30,68,39
18,65,96
51,19,89
78,50,9
97,7,68
41,28,24
41,75,93
79,52,31
82,61,6
20,66,33
60,33,76
38,31,64
24,66,96
43,47,11
25,27,14
90,43,26
12,67,96
10,12,76
61,84,44
20,46,55
29,61,27
38,80,77
62,100,90
73,19,6
74,88,1
89,44,4
80,38,18
2,23,54
44,79,77
77,67,34
16,43,98
79,81,9
25,11,84
20,12,25
87,45,31
85,48,55
58,95,33
78,44,76
8,5,52
1,28,14
94,2,66
41,79,42
97,5,88
67,79,83
75,67,77
47,15,24
75,14,28
98,94,11
2,45,6
97,86,96
66,12,76
97,43,87
57,42,44
53,14,28
91,41,56
85,96,59
75,91,8
66,81,58
55,48,38
28,25,39
67,13,71
50,30,82
94,79,98
64,93,32
58,23,17
95,21,76
79,7,95
70,6,37
65,76,60
100,93,72
84,47,50
24,69,15
82,48,86
59,13,39
48,85,65
62,18,31
9,73,69
14,36,65
94,26,40
25,17,9
66,4,12
71,62,45
89,0,23
91,7,30
99,73,40
83,23,2
64,66,6
51,49,28
8,82,12
97,36,68
83,19,10
75,89,94
94,75,20
67,62,27
47,95,43
94,40,18
87,90,9
71,58,79
22,96,61
88,54,65
75,61,97
100,36,22
11,98,58
91,48,57
98,93,41
48,35,98
70,10,23
59,72,75
31,80,7
47,93,23
92,52,31
58,98,73
3,73,23
54,68,67
84,81,82
62,13,90
76,4,39
75,96,74
16,68,65
33,12,58
82,4,10
